action: u,states: t,states: v,states: x
0.220151,48.0,1.72205,3.44046
0.219282,49.0,1.51292,4.30148
0.265353,50.0,1.68297,5.05794
0.162411,51.0,1.50619,5.89942
0.246585,52.0,1.46015,6.65252
0.194203,53.0,1.58854,7.38259
0.158779,54.0,2.09811,8.17686
0.199,55.0,2.07897,9.22592
0.29496,56.0,2.15097,10.2654
0.139284,57.0,2.3423,11.3409
0.358768,58.0,2.18364,12.512
0.0521615,59.0,2.13694,13.6039
0.385624,60.0,2.25258,14.6723
0.261087,61.0,2.75056,15.7986
0.0755688,62.0,3.27596,17.1739
0.0841089,63.0,3.44533,18.8119
-0.0871732,64.0,3.69828,20.5345
0.0331209,65.0,3.46966,22.3837
-0.098659,66.0,3.40822,24.1185
0.000102401,67.0,3.27637,25.8226
0.0631709,68.0,2.90603,27.4608
-0.00692683,69.0,2.96034,28.9138
-0.150069,70.0,3.1609,30.394
-0.0649436,71.0,3.30164,31.9744
-0.166683,72.0,3.28136,33.6253
-0.142509,73.0,3.32256,35.2659
-0.0760339,74.0,2.93974,36.9272
-0.0675829,75.0,2.64429,38.3971
0.0315411,76.0,2.33201,39.7192
-0.211156,77.0,2.63022,40.8852
-0.137193,78.0,2.71013,42.2004
-0.0413271,79.0,2.00129,43.5554
-0.0755326,80.0,2.01364,44.5561
0.0385659,81.0,1.56452,45.5629
0.0755638,82.0,1.64746,46.3451
-0.00133252,83.0,1.70698,47.1689
-0.00260127,84.0,1.79482,48.0224
0.0327069,85.0,1.65729,48.9198
-0.0478972,86.0,1.74326,49.7484
0.191661,87.0,1.08351,50.62
0.103296,88.0,1.03353,51.1618
0.102854,89.0,1.20032,51.6786
0.0154194,90.0,1.25688,52.2787
0.00705075,91.0,1.06634,52.9072
0.146326,92.0,0.61875,53.4403
0.357832,93.0,0.497005,53.7497
0.336993,94.0,0.732057,53.9982
0.366174,95.0,0.79648,54.3642
-0.0244356,96.0,1.3017,54.7625
-0.495756,97.0,1.22218,55.4133
0.000683308,98.0,1.08199,56.0244
-0.00058794,99.0,1.0299,56.5654
-0.211852,0.0,2.29221,55.1454
-0.338945,1.0,2.28686,56.2915
-0.337543,2.0,1.88353,57.4349
-0.24261,3.0,1.66656,58.3767
-0.287526,4.0,1.60673,59.21
-0.22289,5.0,1.29744,60.0134
-0.190112,6.0,1.19129,60.6621
-0.358728,7.0,1.22955,61.2577
-0.307403,8.0,0.94528,61.8725
-0.262896,9.0,0.529217,62.3451
-0.305428,10.0,0.517236,62.6097
-0.319749,11.0,0.226577,62.8684
-0.248826,12.0,0.118015,62.9816
-0.218499,13.0,-0.00972417,63.0407
-0.11198,14.0,-0.269129,63.0358
-0.277108,15.0,-0.521608,62.9012
-0.214201,16.0,-0.464352,62.6404
-0.202977,17.0,-0.643435,62.4082
-0.156184,18.0,-0.650404,62.0865
-0.137876,19.0,-0.667419,61.7613
-0.274646,20.0,-0.493532,61.4276
-0.173811,21.0,-0.851608,61.1809
-0.336611,22.0,-0.795065,60.755
-0.0965932,23.0,-0.779875,60.3575
-0.138073,24.0,-1.10031,59.9676
-0.186353,25.0,-1.49764,59.4174
-0.135899,26.0,-1.63169,58.6686
-0.0936388,27.0,-1.72431,57.8528
-0.219923,28.0,-1.71454,56.9906
-0.265043,29.0,-1.6712,56.1333
-0.282322,30.0,-1.72489,55.2977
-0.140587,31.0,-1.61414,54.4353
-0.209755,32.0,-1.6713,53.6282
-0.213643,33.0,-2.18526,52.7926
-0.0890924,34.0,-2.1075,51.6999
-0.0606633,35.0,-1.9758,50.6462
-0.19635,36.0,-1.69724,49.6583
-0.216001,37.0,-1.87495,48.8097
-0.320132,38.0,-1.99853,47.8722
-0.139654,39.0,-2.18738,46.8729
-0.153812,40.0,-2.24802,45.7792
-0.0731881,41.0,-2.25556,44.6552
-0.0203741,42.0,-2.28875,43.5275
-0.151791,43.0,-2.23193,42.3831
-0.13671,44.0,-2.31712,41.2671
-0.199865,45.0,-2.46716,40.1086
-0.0111696,46.0,-2.83551,38.875
-0.0379505,47.0,-2.78341,37.4572
-0.165908,48.0,-2.66673,36.0655
-0.181146,49.0,-2.86776,34.7322
0.0357163,50.0,-3.14503,33.2983
