action: u,states: t,states: v,states: x
-0.37661368,43.0,4.3452916,-15.807375
-0.36524427,44.0,4.0715923,-13.634729
-0.30306834,45.0,3.4004543,-11.598933
-0.31069618,46.0,3.419827,-9.898706
-0.37417412,47.0,3.3181198,-8.188793
-0.39275944,48.0,3.0038218,-6.529733
-0.42738116,49.0,2.67788,-5.0278225
-0.45506126,50.0,2.7229602,-3.6888824
-0.39185023,51.0,2.7545261,-2.327402
-0.42577338,52.0,2.6647084,-0.95013905
-0.46215236,53.0,2.9571211,0.38221514
-0.49114406,54.0,2.4766574,1.8607757
-0.41371715,55.0,2.1911988,3.0991044
-0.38802677,56.0,2.1023982,4.194704
-0.46972597,57.0,2.0158994,5.245903
-0.45956814,58.0,1.6181716,6.253853
-0.51758766,59.0,1.2175435,7.0629387
-0.51372087,60.0,0.9192373,7.6717105
-0.41930163,61.0,0.7271675,8.13133
-0.46131337,62.0,0.8501799,8.494913
-0.50103056,63.0,0.6465448,8.920003
-0.40735704,64.0,0.073310316,9.243276
-0.50706637,65.0,-0.057768285,9.279931
-0.48276603,66.0,-0.3375427,9.251047
-0.49878556,67.0,-0.73467827,9.082275
-0.42790937,68.0,-0.8334289,8.714936
-0.4634282,69.0,-0.8748332,8.298222
-0.43039578,70.0,-0.92297745,7.860805
-0.49417812,71.0,-1.0067422,7.3993163
-0.41915262,72.0,-1.0006336,6.895945
-0.36886954,73.0,-1.3432764,6.3956285
-0.369031,74.0,-1.5123826,5.7239904
-0.4127614,75.0,-1.9087939,4.967799
-0.37451106,76.0,-2.0580182,4.013402
-0.36666137,77.0,-2.5459464,2.984393
-0.38709867,78.0,-2.6282847,1.7114197
-0.2999664,79.0,-2.4829063,0.39727736
-0.4049793,80.0,-2.8378634,-0.8441758
-0.30646205,81.0,-3.0862803,-2.2631075
-0.33769208,82.0,-3.1834302,-3.8062477
-0.38065302,83.0,-3.5601783,-5.3979626
-0.36567527,84.0,-3.9264154,-7.178052
-0.2606812,85.0,-4.041805,-9.14126
-0.3190627,86.0,-3.824698,-11.162163
-0.25547475,87.0,-3.9175265,-13.074512
-0.24230886,88.0,-3.8158836,-15.033275
-0.2750094,89.0,-4.2543197,-16.941216
-0.24361122,90.0,-4.496877,-19.068375
-0.1870606,91.0,-4.172732,-21.316813
-0.10363388,92.0,-4.0103164,-23.40318
-0.16574454,93.0,-4.032352,-25.408337
-0.089827955,94.0,-4.0046554,-27.424513
-0.058847487,95.0,-3.9439056,-29.42684
-0.14258367,96.0,-4.0994024,-31.398792
-0.045693398,97.0,-3.776873,-33.448494
0.0,98.0,-3.7288573,-35.33693
0.0,99.0,-3.9161766,-37.20136
-0.48595774,0.0,2.292208,55.145405
-0.5044955,1.0,1.8767259,56.291508
-0.5052253,2.0,1.5149304,57.22987
-0.48024547,3.0,1.2574487,57.987335
-0.4515012,4.0,1.2299169,58.61606
-0.3778249,5.0,1.3065264,59.231018
-0.4358217,6.0,0.8375032,59.88428
