states: t,states: v,states: x
55.0,2.1406,-14.8524
56.0,2.44015,-13.7821
57.0,1.96987,-12.562
58.0,2.06912,-11.5771
59.0,1.97092,-10.5425
60.0,2.16372,-9.55704
61.0,2.3603,-8.47518
62.0,2.04976,-7.29503
63.0,2.09514,-6.27015
64.0,2.11774,-5.22258
65.0,2.18317,-4.16371
66.0,2.11437,-3.07212
67.0,2.38028,-2.01494
68.0,2.45228,-0.824801
69.0,2.22401,0.401339
70.0,1.96247,1.51334
71.0,2.40019,2.49457
72.0,2.55877,3.69467
73.0,2.2276,4.97406
74.0,2.08161,6.08786
75.0,1.85021,7.12866
76.0,1.61227,8.05377
77.0,1.76974,8.8599
78.0,2.14212,9.74477
79.0,1.95672,10.8158
80.0,1.72251,11.7942
81.0,2.10416,12.6554
82.0,2.54038,13.7075
83.0,2.44641,14.9777
84.0,2.505,16.2009
85.0,2.54582,17.4534
86.0,2.63559,18.7263
87.0,2.94244,20.0441
88.0,2.61589,21.5154
89.0,2.50801,22.8233
90.0,2.12541,24.0773
91.0,1.72551,25.14
92.0,1.97521,26.0028
93.0,1.70622,26.9904
94.0,1.26192,27.8435
95.0,0.998987,28.4744
96.0,1.47713,28.9739
97.0,1.39977,29.7125
98.0,1.25054,30.4124
99.0,1.32294,31.0377
100.0,1.82934,31.6991
1.0,2.19977,-121.241
2.0,2.50278,-120.141
3.0,2.49889,-118.889
4.0,2.42538,-117.64
5.0,2.26946,-116.427
6.0,2.40036,-115.293
7.0,2.19443,-114.092
8.0,2.58051,-112.995
9.0,2.7754,-111.705
10.0,2.8196,-110.317
11.0,3.29949,-108.907
12.0,3.40431,-107.258
13.0,3.57477,-105.555
14.0,4.033,-103.768
15.0,4.04677,-101.752
16.0,4.14311,-99.7282
17.0,4.26343,-97.6567
18.0,4.54038,-95.525
19.0,4.58907,-93.2548
20.0,4.50974,-90.9602
21.0,4.36575,-88.7054
22.0,4.18869,-86.5225
23.0,4.28425,-84.4281
24.0,3.96996,-82.286
25.0,4.45752,-80.301
26.0,4.06917,-78.0723
27.0,4.2252,-76.0377
28.0,4.3449,-73.9251
29.0,4.77507,-71.7526
30.0,5.19612,-69.3651
31.0,5.48429,-66.767
32.0,5.44903,-64.0249
33.0,5.58952,-61.3004
34.0,5.3237,-58.5056
35.0,4.82376,-55.8438
36.0,5.01532,-53.4319
37.0,5.00436,-50.9242
38.0,5.09258,-48.4221
39.0,4.9967,-45.8758
40.0,5.33498,-43.3774
41.0,4.93448,-40.7099
42.0,4.80212,-38.2427
43.0,4.59106,-35.8416
44.0,4.56178,-33.5461
45.0,4.53982,-31.2652
46.0,4.5728,-28.9953
47.0,4.47855,-26.7089
48.0,4.60269,-24.4696
49.0,4.64009,-22.1683
50.0,4.92793,-19.8482
51.0,4.86737,-17.3843
52.0,4.6824,-14.9506
53.0,4.35533,-12.6094
54.0,4.20791,-10.4317
55.0,4.1942,-8.32775
56.0,3.88493,-6.23065
57.0,3.68018,-4.28818
58.0,3.63469,-2.44809
59.0,3.90165,-0.630749
60.0,3.18762,1.32008
61.0,2.73909,2.91389
62.0,2.35206,4.28343
63.0,2.1799,5.45946
64.0,2.29152,6.54942
65.0,2.67482,7.69517
66.0,2.53717,9.03258
67.0,2.60582,10.3012
68.0,2.72321,11.6041
69.0,2.80448,12.9657
70.0,2.40349,14.3679
71.0,2.14891,15.5697
72.0,2.24391,16.6441
73.0,2.27566,17.7661
74.0,2.09664,18.9039
75.0,1.96115,19.9522
76.0,1.46877,20.9328
77.0,1.04518,21.6672
78.0,1.15816,22.1898
79.0,1.14706,22.7689
80.0,0.661449,23.3424
81.0,0.391926,23.6731
82.0,0.311657,23.8691
83.0,0.615996,24.0249
84.0,0.461442,24.3329
85.0,0.550477,24.5636
86.0,0.365973,24.8389
87.0,0.279875,25.0218
88.0,-0.0639561,25.1618
89.0,-0.172103,25.1298
90.0,-0.385494,25.0438
91.0,-0.580774,24.851
92.0,-0.536956,24.5606
93.0,-0.941307,24.2921
94.0,-1.1942,23.8215
95.0,-1.3589,23.2244
96.0,-2.02797,22.5449
97.0,-1.996,21.531
98.0,-1.25779,20.533
99.0,-1.48001,19.9041
100.0,-1.37472,19.1641
1.0,-2.64886,68.4952
2.0,-2.59285,67.1708
3.0,-2.75569,65.8744
4.0,-2.60637,64.4965
5.0,-2.69839,63.1933
6.0,-2.63283,61.8441
7.0,-2.4435,60.5277
8.0,-2.02363,59.306
9.0,-2.0094,58.2942
10.0,-1.92288,57.2895
11.0,-1.76872,56.328
12.0,-2.05917,55.4437
13.0,-2.01131,54.4141
14.0,-2.06461,53.4084
15.0,-2.3963,52.3761
16.0,-1.47442,51.178
17.0,-1.17729,50.4408
18.0,-1.43512,49.8521
19.0,-1.59215,49.1346
20.0,-1.2504,48.3385
21.0,-1.06334,47.7133
22.0,-0.806929,47.1816
23.0,-1.048,46.7781
24.0,-1.19138,46.2541
25.0,-1.1075,45.6585
26.0,-1.09519,45.1047
27.0,-1.2071,44.5571
28.0,-1.41095,43.9536
29.0,-1.45582,43.2481
30.0,-1.27014,42.5202
31.0,-1.30307,41.8851
